Word (he),Word (en),Root,Part of speech,Binyan,Meaning
לְהִתְאַכְסֵן,lehit'achsen,"['א', 'כ', 'ס', 'ן']",Verb,hitpa'el,"to stay, to lodge"
לְאַכְסֵן,le'achsen,"['א', 'כ', 'ס', 'ן']",Verb,pi'el,"to lodge, to accommodate"
לֶאֱכוֹף,le'echof,"['א', 'כ', 'ף']",Verb,pa'al,"to enforce, to impose"
לְהֵיאָכֵף,lehe'achef,"['א', 'כ', 'ף']",Verb,nif'al,"to be enforced, to be imposed"
לְאַלְחֵשׁ,le'alchesh,"['א', 'ל', 'ח', 'ש']",Verb,pi'el,to anesthetize
לְהֵיאָלֵם,lehe'alem,"['א', 'ל', 'ם']",Verb,nif'al,to be dumbfounded
לְהִתְאַלְמֵן,lehit'almen,"['א', 'ל', 'מ', 'ן']",Verb,hitpa'el,to become widowed
לְאַלֵּף,le'alef,"['א', 'ל', 'ף']",Verb,pi'el,"to tame, to train"
לְהֵיאָלֵץ,lehe'aletz,"['א', 'ל', 'ץ']",Verb,nif'al,to be obliged
לְאַלֵּץ,le'aletz,"['א', 'ל', 'ץ']",Verb,pi'el,"to force, to compel"
לְאַלְתֵּר,le'alter,"['א', 'ל', 'ת', 'ר']",Verb,pi'el,to improvise
לֶאֱמוֹד,le'emod,"['א', 'מ', 'ד']",Verb,pa'al,"to estimate, to gauge"
לְהֵיאָמֵד,lehe'amed,"['א', 'מ', 'ד']",Verb,nif'al,to be estimated
לְאַמְלֵל,le'amlel,"['א', 'מ', 'ל', 'ל']",Verb,pi'el,"to sadden, to make miserable"
לְהַאֲמִין,leha'amin,"['א', 'מ', 'ן']",Verb,hif'il,"to believe, to trust"
לְהִתְאַמֵּן,lehit'amen,"['א', 'מ', 'ן']",Verb,hitpa'el,"to train, to practise"
לְהֵיאָמֵן,lehe'amen,"['א', 'מ', 'ן']",Verb,nif'al,"to be credible, loyal, faithful"
לְאַמֵּן,le'amen,"['א', 'מ', 'ן']",Verb,pi'el,"to train, to coach someone"
לְהִתְאַמֵּץ,lehit'ametz,"['א', 'מ', 'ץ']",Verb,hitpa'el,"to strain, to endeavour"
לֶאֱמוֹץ,le'emotz,"['א', 'מ', 'ץ']",Verb,pa'al,"to take courage, to be courageous (archaic)"
לְאַמֵּץ,le'ametz,"['א', 'מ', 'ץ']",Verb,pi'el,"to adopt; to support, to encourage, to strengthen"
לְהֵיאָמֵר,lehe'amer,"['א', 'מ', 'ר']",Verb,nif'al,to be said
לְהַאֲמִיר,leha'amir,"['א', 'מ', 'ר']",Verb,hif'il,"to soar, to skyrocket"
לוֹמַר,lomar,"['א', 'מ', 'ר']",Verb,pa'al,"to say, to tell (in the infinitive, imperative and future tense לְהַגִּיד is used instead)"
לְהִתְאַמֵּת,lehit'amet,"['א', 'מ', 'ת']",Verb,hitpa'el,to be verified
לְאַמֵּת,le'amet,"['א', 'מ', 'ת']",Verb,pi'el,"to verify, to validate"
לְהֵיאָנֵחַ,lehe'aneach,"['א', 'נ', 'ח']",Verb,nif'al,to sigh
לְהִתְאַנֵּחַ,lehit'aneach,"['א', 'נ', 'ח']",Verb,hitpa'el,to moan
לְהִתְאַנּוֹת,lehit'anot,"['א', 'נ', 'ה']",Verb,hitpa'el,"to harass, to trouble (ל־)"
לְאַנּוֹת,le'anot,"['א', 'נ', 'ה']",Verb,pi'el,"to cause, to induce (rare)"
לְהִתְאוֹנֵן,lehit'onen,"['א', 'נ', 'ן']",Verb,hitpa'el,"to complain, to grumble"
לְאוֹנֵן,le'onen,"['א', 'נ', 'ן']",Verb,pi'el,"to masturbate; to be lazy, to mess around (slang)"
לֶאֱנוֹס,le'enos,"['א', 'נ', 'ס']",Verb,pa'al,to rape
לְהֵיאָנֵס,lehe'anes,"['א', 'נ', 'ס']",Verb,nif'al,to be raped
לְהֵיאָנֵק,lehe'anek,"['א', 'נ', 'ק']",Verb,nif'al,to moan
לְהַאֲנִישׁ,leha'anish,"['א', 'נ', 'ש']",Verb,hif'il,to anthropomorphize
לְהִתְאַסְלֵם,lehit'aslem,"['א', 'ס', 'ל', 'ם']",Verb,hitpa'el,to convert to Islam
לְהֵיאָסֵף,lehe'asef,"['א', 'ס', 'ף']",Verb,nif'al,to be collected
